SKU,Nombre,Descripción,Cantidad por talla
001,Short de Pádel,Ajuste cómodo con costuras reforzadas.,l:12|xs:8|s:5|xl:24
002,Conjunto de Gimnasia,Diseño ergonómico y transpirable para mayor comodidad.,xl:25|m:15|xs:18|s:12
003,Guantes de Gimnasio,Ideal para entrenamientos de alta intensidad.,m:18|xs:19|s:30|l:20|xl:5
004,Camiseta de Pádel,Diseño ergonómico y transpirable para mayor comodidad.,s:7|xs:18
005,Conjunto de Ciclismo,Ligera y fresca para cualquier tipo de entrenamiento.,l:14|s:28|xl:9
006,Top Deportivo,Elaborada con tela elástica para mayor libertad de movimiento.,m:20|s:11|l:7
007,Buzo con Capucha,Ideal para entrenamientos de alta intensidad.,xl:6|xs:23|l:10|s:10|m:10
008,Short de Triatlón,Ligera y fresca para cualquier tipo de entrenamiento.,xs:9|l:10|xl:18|m:19
009,Pantalón de Triatlón,Material flexible y resistente para mayor movilidad.,l:23|s:5
010,Pantalón de Gimnasia,Con tecnología de secado rápido y absorción de sudor.,xs:11
011,Camiseta Running,Ajuste cómodo con costuras reforzadas.,m:30|xl:22|xs:21|s:17|l:22
012,Gorra Deportiva,Con tecnología de secado rápido y absorción de sudor.,s:9|m:24|xs:18|l:29|xl:21
013,Mallas Térmicas,Material flexible y resistente para mayor movilidad.,xl:25|xs:18|s:21
014,Top Deportivo,Ajuste cómodo con costuras reforzadas.,xs:15|s:15|l:8|m:5|xl:20
015,Short Deportivo,Elaborada con tela elástica para mayor libertad de movimiento.,l:17|m:28|xs:29|xl:9|s:27
016,Camiseta Térmica,Ropa deportiva de alta calidad para un mejor rendimiento.,s:14|l:24|m:29|xl:27
017,Top Deportivo,Diseño ergonómico y transpirable para mayor comodidad.,xs:27|xl:17|s:17|m:12
018,Short de Atletismo,Diseño ergonómico y transpirable para mayor comodidad.,m:24|l:14
019,Falda de Tenis,Ajuste cómodo con costuras reforzadas.,m:19|l:22|xl:28|xs:13
020,Mallas de Balonmano,Material flexible y resistente para mayor movilidad.,s:13|m:12|xs:5
021,Mallas de Yoga,Ropa deportiva de alta calidad para un mejor rendimiento.,xl:5|s:16|xs:27|m:30
022,Sudadera con Capucha,Elaborada con tela elástica para mayor libertad de movimiento.,xs:13|m:28
023,Calcetas de Compresión,Material flexible y resistente para mayor movilidad.,m:22|xs:22|l:8|xl:7
024,Pants de Entrenamiento,Ligera y fresca para cualquier tipo de entrenamiento.,s:7|xl:7|xs:15|m:30|l:27
025,Pantalón Impermeable,Ropa deportiva de alta calidad para un mejor rendimiento.,xs:25|m:6|s:21|l:10|xl:15
026,Chaleco de Surf,Material flexible y resistente para mayor movilidad.,l:5|m:22|xl:14|s:23
027,Pantalón de Trail,Ropa deportiva de alta calidad para un mejor rendimiento.,m:12|l:8
028,Mallas Térmicas,Ideal para entrenamientos de alta intensidad.,xl:5
029,Bermuda de Baloncesto,Ajuste cómodo con costuras reforzadas.,xs:5|s:19
030,Short de Atletismo,Material flexible y resistente para mayor movilidad.,m:10|xs:20|xl:15|l:30
031,Pantalón de Triatlón,Ligera y fresca para cualquier tipo de entrenamiento.,m:5|s:27|xs:5|l:25|xl:27
032,Conjunto de Gimnasia,Con protección UV y resistencia a la humedad.,m:12
033,Top Deportivo,Ligera y fresca para cualquier tipo de entrenamiento.,xl:17|s:9|l:21
034,Camiseta Técnica,Con tecnología de secado rápido y absorción de sudor.,s:25|xs:23|m:12
035,Camiseta de Esquí,Con tecnología de secado rápido y absorción de sudor.,s:19|xs:27|xl:29|l:15|m:18
036,Buzo de Hockey,Ajuste cómodo con costuras reforzadas.,xs:5|l:5|s:9|m:27
037,Camiseta Running,Ideal para entrenamientos de alta intensidad.,xs:12|l:25|xl:29|m:27|s:9
038,Buzo de Hockey,Con protección UV y resistencia a la humedad.,xl:15|s:14|l:17|xs:9|m:18
